Country,Estimate_year,Estimate_month,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday
Turkey,644684016,53723668,982664,904682,2085957,2377847,2407903,2350945,2320919
Uganda,9792000,816000,26481,20354,26513,29495,33321,36814,31022
Ukraine,25209552,2100796,50189,46396,66767,99270,95652,87896,79029
United Arab Emirates,66535008,5544584,236794,221216,213312,158923,197667,210490,147744
United Kingdom,133630272,11135856,308502,320838,411965,450761,419085,442509,430304
United Republic of Cambodia,14011392,1167616,29395,15148,44241,47166,57178,51183,47593
United States,707309856,58942488,1968656,1876626,1957614,2354878,2326048,2151762,2100038
Uruguay,4885872,407156,9114,8649,10573,18132,18591,17177,19553
Uzbekistan,23744352,1978696,53927,35507,74456,84938,94806,78181,72859
Venezuela,26011056,2167588,36849,27103,72879,94374,110214,105298,95180
Vietnam,1088353488,90696124,1796104,1020238,3540964,3607196,4871028,4235947,3602554
Yemen,2649216,220768,6288,8985,8274,11450,6398,10005,3792
Zambia,2512080,209340,4522,3986,9027,9820,10464,6940,7576
Zimbabwe,35957424,2996452,95890,74325,98440,114106,121533,120685,124134
